ID;Última Actualización;Razón Social;Calle;Número;ID Comuna;Comuna;ID Región;Región;Horario de Atención;Distribuidor;Distribuidor Logo;Distribuidor Logo SVG;Distribuidor Logo SVG Horizontal;Gasolina 93 $/L;Gasolina 97 $/L;Petróleo Diesel $/L;Gasolina 95 $/L;GLP Vehicular $/m3;GNC $/m3;Latitud;Longitud;Tienda;Farmacia;Mantención;Autoservicio;Pago Efectivo;Cheque;Tarjetas Bancarias;Tarjeta Grandes Tiendas
co1360102;04/02/2021 9:20;Comercial Hernández H&P Ltda.;Ruta 78 Km. oriente;31;13601;Talagante;13;Metropolitana de Santiago;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;804;867;541;834;;;-3,36347E+13;-7,08687E+13;VERDADERO;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
co1360103;04/02/2021 8:51;DISTRIBUIDORA DE COMBUSTIBLES SAN IGNACIO LIMITADA;Avenida Bernardo O'Higgins;530;13601;Talagante;13;Metropolitana de Santiago;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;777;844;545;804;;;-3,36612E+13;-7,09214E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;VERDADERO
co1360104;05/02/2021 13:44;PATRICIO ANTONIO GHIARDO GALLARDO.;Avenida Bernardo O´Higgins;3006;13601;Talagante;13;Metropolitana de Santiago;24 horas;Shell;http://api.cne.cl/brands/logo4.jpg;http://api.cne.cl/brands/shell.svg;http://api.cne.cl/brands/shell-horizontal.svg;777;847;545;804;;;-3,367E+13;-7,09399E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
co1360105;04/02/2021 15:36;SOCIEDAD COMERCIAL ZAMBRA Y COMPAÑIA LIMITADA, 78.896.760-8;21 de Mayo;1500;13601;Talagante;13;Metropolitana de Santiago;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;777;844;545;804;;;-3,36708E+13;-7,09266E+13;VERDADERO;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
pb1360101;04/02/2021 15:41;INVERSIONES OLIVARES MEDEL Y PESCE SPA.;Circunvalación;3120;13601;Talagante;13;Metropolitana de Santiago;.;Petroval;http://api.cne.cl/brands/logo81.jpg;http://api.cne.cl/brands/petroval.svg;http://api.cne.cl/brands/petroval-horizontal.svg;758;;560;776;;;-33681217;-70950021;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO
pe1360101;04/02/2021 9:36;Henderson Macqueen Limitada;Avenida Bernardo O'Higgins;292;13601;Talagante;13;Metropolitana de Santiago;24 horas;Petrobras;http://api.cne.cl/brands/logo2.jpg;http://api.cne.cl/brands/petrobras.svg;http://api.cne.cl/brands/petrobras-horizontal.svg;777;844;545;804;;;-3,36605E+13;-7,09196E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO
pe1360102;04/02/2021 14:53;Distribuidora de Combustibles Petrocentro Limitada;camino melipilla 7022 talagante G78;7022;13601;Talagante;13;Metropolitana de Santiago;24 horas;Petrobras;http://api.cne.cl/brands/logo2.jpg;http://api.cne.cl/brands/petrobras.svg;http://api.cne.cl/brands/petrobras-horizontal.svg;757;772;543;765;;;-33633571;-70875138;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO
sh1360101;28/01/2021 14:57;COMERCIAL TAMARUGO EIRL.;Avenida 21 De Mayo;1191;13601;Talagante;13;Metropolitana de Santiago;24 horas;Shell;http://api.cne.cl/brands/logo4.jpg;http://api.cne.cl/brands/shell.svg;http://api.cne.cl/brands/shell-horizontal.svg;772;839;539;799;;;-3,36679E+13;-7,09283E+12;VERDADERO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;VERDADERO;VERDADERO
co1360201;04/02/2021 10:26;Comercial Villaval ltda;Los Libertadores;98;13602;El Monte;13;Metropolitana de Santiago;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;771;831;539;801;;;-3,36815E+13;-7,09823E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
pb1360201;04/02/2021 14:41;Soc. Comercial Farias Combustibles Ltda;avenida los libertadores;641;13602;El Monte;13;Metropolitana de Santiago;24 horas;Farcom;http://api.cne.cl/brands/logo94.jpg;http://api.cne.cl/brands/farcom.svg;http://api.cne.cl/brands/farcom-horizontal.svg;771;831;539;801;;;-33683406;-70989503;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
